Kod;Nazwa;Wyszczególnienie;Typy szkół;Rok;Wartosc;Jednostka miary;Atrybut
1100000000;ŁÓDZKIE;komputery w szkole;szkoły policealne;2006;1193;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;szkoły policealne;2007;242;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;szkoły policealne;2008;298;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;szkoły policealne;2009;334;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;szkoły policealne;2010;262;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;szkoły policealne;2011;211;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;szkoły policealne;2012;201;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;szkoły zawodowe bez policealnych;2002;1773;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;szkoły zawodowe bez policealnych;2003;2515;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;szkoły zawodowe bez policealnych;2004;3193;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;szkoły zawodowe bez policealnych;2005;3633;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;szkoły zawodowe bez policealnych;2006;4977;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;szkoły zawodowe bez policealnych;2007;5949;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;szkoły zawodowe bez policealnych;2008;6954;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;szkoły zawodowe bez policealnych;2009;7216;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;szkoły zawodowe bez policealnych;2010;7372;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;szkoły zawodowe bez policealnych;2011;7566;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;szkoły zawodowe bez policealnych;2012;8487;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;zasadnicze szkoły zawodowe;2002;186;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;zasadnicze szkoły zawodowe;2003;300;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;zasadnicze szkoły zawodowe;2004;244;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;zasadnicze szkoły zawodowe;2005;303;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;zasadnicze szkoły zawodowe;2006;349;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;zasadnicze szkoły zawodowe;2007;581;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;zasadnicze szkoły zawodowe;2008;761;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;zasadnicze szkoły zawodowe;2009;683;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;zasadnicze szkoły zawodowe;2010;731;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;zasadnicze szkoły zawodowe;2011;879;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;zasadnicze szkoły zawodowe;2012;1058;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;technika;2002;1239;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;technika;2003;1750;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;technika;2004;2303;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;technika;2005;2697;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;technika;2006;3898;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;technika;2007;4410;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;technika;2008;5302;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;technika;2009;5872;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;technika;2010;6125;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;technika;2011;6283;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;technika;2012;6933;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;licea profilowane;2002;348;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;licea profilowane;2003;465;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;licea profilowane;2004;646;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;licea profilowane;2005;633;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;licea profilowane;2006;730;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;licea profilowane;2007;958;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;licea profilowane;2008;891;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;licea profilowane;2009;661;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;licea profilowane;2010;516;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;licea profilowane;2011;404;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;licea profilowane;2012;496;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;licea ogólnokształcące;2002;-;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;licea ogólnokształcące;2003;-;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;licea ogólnokształcące;2004;-;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;licea ogólnokształcące;2005;-;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;licea ogólnokształcące;2006;4560;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;licea ogólnokształcące;2007;4851;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;licea ogólnokształcące;2008;5745;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;licea ogólnokształcące;2009;5623;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;licea ogólnokształcące;2010;5765;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;licea ogólnokształcące;2011;6065;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;licea ogólnokształcące;2012;5844;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;szkoły policealne;2002;699;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;szkoły policealne;2003;679;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;szkoły policealne;2004;886;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;szkoły policealne;2005;916;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;szkoły policealne;2006;1136;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;szkoły policealne;2007;193;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;szkoły policealne;2008;229;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;szkoły policealne;2009;283;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;szkoły policealne;2010;219;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;szkoły policealne;2011;185;szt.; 
1100000000;ŁÓDZKIE;komputery z dostępem do Internetu;szkoły policealne;2012;180;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;szkoły zawodowe bez policealnych;2002;5492;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;szkoły zawodowe bez policealnych;2003;6402;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;szkoły zawodowe bez policealnych;2004;6989;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;szkoły zawodowe bez policealnych;2005;7131;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;szkoły zawodowe bez policealnych;2006;9525;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;szkoły zawodowe bez policealnych;2007;9632;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;szkoły zawodowe bez policealnych;2008;12271;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;szkoły zawodowe bez policealnych;2009;12910;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;szkoły zawodowe bez policealnych;2010;13409;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;szkoły zawodowe bez policealnych;2011;14128;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;szkoły zawodowe bez policealnych;2012;14799;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;zasadnicze szkoły zawodowe;2002;566;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;zasadnicze szkoły zawodowe;2003;586;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;zasadnicze szkoły zawodowe;2004;519;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;zasadnicze szkoły zawodowe;2005;732;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;zasadnicze szkoły zawodowe;2006;809;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;zasadnicze szkoły zawodowe;2007;757;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;zasadnicze szkoły zawodowe;2008;1154;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;zasadnicze szkoły zawodowe;2009;1041;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;zasadnicze szkoły zawodowe;2010;1176;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;zasadnicze szkoły zawodowe;2011;1331;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;zasadnicze szkoły zawodowe;2012;1270;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;technika;2002;4166;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;technika;2003;4793;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;technika;2004;4951;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;technika;2005;5007;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;technika;2006;7175;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;technika;2007;7413;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;technika;2008;9390;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;technika;2009;10617;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;technika;2010;11131;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;technika;2011;11832;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;technika;2012;12654;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;licea profilowane;2002;760;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;licea profilowane;2003;1023;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;licea profilowane;2004;1519;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;licea profilowane;2005;1392;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;licea profilowane;2006;1541;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;licea profilowane;2007;1462;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;licea profilowane;2008;1727;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;licea profilowane;2009;1252;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;licea profilowane;2010;1102;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;licea profilowane;2011;965;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;licea profilowane;2012;875;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;licea ogólnokształcące;2002;-;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;licea ogólnokształcące;2003;-;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;licea ogólnokształcące;2004;-;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;licea ogólnokształcące;2005;-;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;licea ogólnokształcące;2006;10982;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;licea ogólnokształcące;2007;12598;szt.; 
